param;mg/L
DO1100;13.37
DO1100;13.33
DO1100;13.43
DO1100;13.45
DO1100;13.38
DO1100;13.40
DO1100;13.48
DO1100;13.42
DO1100;13.35
DO1100;13.42
DO1100;13.44
DO1100;13.44
DO1100;13.45
DO1100;13.51
DO1100;13.46
DO1100;13.42
DO1100;13.38
DO1100;13.40
DO1100;13.37
DO1100;13.41
DO1100;13.42
DO1100;13.40
DO1100;13.41
DO1100;13.49
DO1100;13.39
DO1100;13.40
DO1100;13.47
DO1100;13.34
DO1100;13.45
DO1100;13.44
DO1100;13.48
DO1100;13.52
DO1100;13.44
DO1100;13.46
DO1100;13.44
DO1100;13.43
DO1100;13.51
DO1100;13.40
DO1100;13.41
DO1100;13.36
DO1100;13.38
DO1100;13.50
DO1100;13.41
DO1100;13.48
DO1100;13.40
DO1100;13.45
DO1100;13.45
DO1100;13.40
DO1100;13.45
DO1100;13.45
DO1100;13.45
DO1100;13.43
DO1100;13.42
DO1100;13.45
DO1100;13.44
DO1100;13.40
DO1100;13.51
DO1100;13.41
DO1100;13.43
DO1100;13.50
DO1100;13.45
DO1100;13.37
DO1100;13.52
DO1100;13.42
DO1100;13.43
DO1100;13.39
DO1100;13.41
DO1100;13.38
DO1100;13.41
DO1100;13.42
DO1100;13.41
DO1100;13.38
DO1100;13.44
DO1100;13.36
DO1100;13.43
DO1100;13.46
DO1100;13.39
DO1100;13.37
DO1100;13.40
DO1100;13.40
DO1100;13.43
DO1100;13.38
DO1100;13.37
DO1100;13.45
DO1100;13.49
DO1100;13.51
DO1100;13.45
DO1100;13.40
DO1100;13.40
DO1100;13.45
DO1100;13.41
DO1100;13.44
DO1100;13.42
DO1100;13.43
DO1100;13.50
DO1100;13.47
DO1100;13.40
DO1100;13.40
DO1100;13.47
DO1100;13.39
DO1100;13.44
DO1100;13.42
DO1100;13.42
DO1100;13.48
DO1100;13.44
DO1100;13.48
DO1100;13.40
DO1100;13.44
DO1100;13.44
DO1100;13.45
DO1100;13.49
DO1100;13.43
DO1100;13.44
DO1100;13.44
DO1100;13.40
DO1100;13.52
DO1100;13.45
DO1100;13.44
DO1100;13.45
DO1100;13.40
DO1100;13.43
DO1100;13.42
DO1100;13.49
DO1100;13.46
DO1100;13.50
DO1100;13.47
DO1100;13.39
DO1100;13.46
DO1100;13.48
DO1100;13.42
DO1100;13.44
DO1100;13.45
DO1100;13.44
DO1100;13.46
DO1100;13.44
DO1100;13.44
DO1100;13.44
DO1100;13.39
DO1100;13.43
DO1100;13.51
DO1100;13.48
DO1100;13.45
DO1100;13.43
DO1100;13.45
DO1100;13.47
DO1100;13.40
DO1100;13.47
DO1100;13.39
DO1100;13.43
DO1100;13.44
DO1100;13.43
DO1100;13.40
DO1100;13.47
DO1100;13.45
DO1100;13.43
DO1100;13.48
DO1100;13.43
DO1100;13.51
DO1100;13.45
DO1100;13.44
DO1100;13.42
DO1100;13.46
DO1100;13.47
DO1100;13.47
DO1100;13.45
DO1100;13.52
DO1100;13.45
DO1100;13.46
DO1100;13.46
DO1100;13.45
DO1100;13.46
DO1100;13.46
DO1100;13.52
DO1100;13.49
DO1100;13.42
DO1100;13.45
DO1100;13.47
DO1100;13.47
DO1100;13.44
DO1100;13.48
DO1100;13.43
DO1100;13.50
DO1100;13.42
DO1100;13.47
DO1100;13.46
DO1100;13.41
DO1100;13.43
DO1100;13.44
DO1100;13.47
DO1100;13.44
DO1100;13.42
DO1100;13.50
DO1100;13.44
DO1100;13.49
DO1100;13.44
DO1100;13.44
DO1100;13.45
DO1100;13.43
DO1100;13.46
DO1100;13.41
DO1100;13.47
DO1100;13.42
DO1100;13.49
DO1100;13.48
DO1100;13.47
DO1100;13.50
DO1100;13.46
DO1100;13.01
DO1100;13.07
DO1100;13.05
DO1100;13.08
DO1100;13.03
DO1100;13.03
DO1100;13.13
DO1100;13.07
DO1100;13.02
DO1100;13.09
DO1100;13.09
DO1100;13.04
DO1100;13.09
DO1100;13.07
DO1100;13.12
DO1100;13.06
DO1100;13.06
DO1100;13.11
DO1100;13.10
DO1100;13.09
DO1100;13.03
DO1100;13.14
DO1100;13.10
DO1100;13.10
DO1100;13.08
DO1100;13.09
DO1100;13.06
DO1100;13.13
DO1100;13.09
DO1100;13.11
DO1100;12.98
DO1100;13.06
DO1100;13.13
DO1100;13.15
DO1100;13.10
DO1100;13.12
DO1100;13.07
DO1100;13.05
DO1100;13.06
DO1100;13.05
DO1100;13.01
DO1100;13.13
DO1100;13.07
DO1100;13.06
DO1100;13.05
DO1100;13.06
DO1100;13.09
DO1100;13.05
DO1100;13.12
DO1100;13.06
DO1100;13.06
DO1100;13.08
DO1100;13.19
DO1100;13.14
DO1100;13.08
DO1100;13.10
DO1100;13.09
DO1100;13.15
DO1100;13.12
DO1100;13.10
DO1100;13.07
DO1100;13.12
DO1100;13.03
DO1100;13.11
DO1100;13.08
DO1100;13.10
DO1100;13.07
DO1100;13.09
DO1100;13.09
DO1100;13.07
DO1100;13.07
DO1100;13.07
DO1100;13.13
DO1100;13.10
DO1100;13.19
DO1100;13.18
DO1100;13.16
DO1100;13.14
DO1100;13.17
DO1100;13.12
DO1100;13.12
DO1100;13.14
