param;mg/L
C1100;17.31
C1100;17.33
C1100;17.41
C1100;17.44
C1100;17.43
C1100;17.41
C1100;17.34
C1100;17.38
C1100;17.33
C1100;17.45
C1100;17.47
C1100;17.48
C1100;17.38
C1100;17.58
C1100;17.61
C1100;17.57
C1100;17.66
C1100;17.69
C1100;17.64
C1100;17.71
C1100;17.63
C1100;17.67
C1100;17.65
C1100;17.52
C1100;17.69
C1100;17.58
C1100;17.72
C1100;17.59
C1100;17.57
C1100;17.54
C1100;17.51
C1100;17.61
C1100;17.48
C1100;17.47
C1100;17.48
C1100;17.49
C1100;17.62
C1100;17.70
C1100;17.57
C1100;17.67
C1100;17.50
C1100;17.62
C1100;17.65
C1100;17.63
C1100;17.69
C1100;17.68
C1100;17.70
C1100;17.65
C1100;17.66
C1100;17.67
C1100;17.68
C1100;17.74
C1100;17.74
C1100;17.75
C1100;17.70
C1100;17.69
C1100;17.74
C1100;17.72
C1100;17.85
C1100;17.83
C1100;17.87
C1100;17.78
C1100;17.70
C1100;17.82
C1100;17.83
C1100;17.81
C1100;17.81
C1100;17.85
C1100;17.81
C1100;17.84
C1100;17.84
C1100;17.81
C1100;17.83
C1100;17.86
C1100;17.86
C1100;17.85
C1100;17.83
C1100;17.84
C1100;17.76
C1100;17.77
C1100;17.85
C1100;17.87
C1100;17.88
C1100;17.91
C1100;17.91
C1100;17.87
C1100;17.88
C1100;17.88
C1100;17.90
C1100;17.85
C1100;17.85
C1100;17.76
C1100;17.88
C1100;17.81
C1100;17.77
C1100;17.83
C1100;17.87
C1100;17.89
C1100;17.91
C1100;17.89
C1100;17.84
C1100;17.78
C1100;17.81
C1100;17.90
C1100;17.88
C1100;17.78
C1100;17.85
C1100;17.90
C1100;17.90
C1100;17.86
C1100;17.88
C1100;17.85
C1100;17.87
C1100;17.90
C1100;17.84
C1100;17.97
C1100;17.98
C1100;18.03
C1100;18.09
C1100;18.12
C1100;18.09
C1100;18.12
C1100;18.14
C1100;18.16
C1100;18.13
C1100;18.13
C1100;18.12
C1100;18.14
C1100;18.15
C1100;18.15
C1100;18.12
C1100;18.12
C1100;18.13
C1100;18.12
C1100;18.05
C1100;18.00
C1100;17.96
C1100;18.00
C1100;17.99
C1100;18.01
C1100;18.01
C1100;17.98
C1100;17.99
C1100;17.97
C1100;17.96
C1100;17.95
C1100;17.92
C1100;17.93
C1100;17.97
C1100;17.91
C1100;17.91
C1100;17.89
C1100;17.91
C1100;17.90
C1100;17.91
C1100;17.92
C1100;17.90
C1100;17.95
C1100;17.92
C1100;17.93
C1100;17.93
C1100;17.90
C1100;17.90
C1100;17.90
C1100;17.90
C1100;17.92
C1100;17.92
C1100;17.93
C1100;17.93
C1100;17.91
C1100;17.92
C1100;17.89
C1100;17.92
C1100;17.90
C1100;17.91
C1100;17.91
C1100;17.89
C1100;17.92
C1100;17.91
C1100;17.93
C1100;17.94
C1100;17.90
C1100;17.94
C1100;17.94
C1100;17.94
C1100;17.95
C1100;17.91
C1100;17.92
C1100;17.81
C1100;17.92
C1100;17.90
C1100;17.87
C1100;17.91
C1100;17.88
C1100;17.88
C1100;17.89
C1100;17.86
C1100;17.89
C1100;17.88
C1100;17.90
C1100;17.87
C1100;17.85
C1100;17.89
C1100;17.92
C1100;17.91
C1100;17.91
C1100;17.89
C1100;17.90
C1100;17.92
C1100;17.88
C1100;17.89
C1100;17.86
C1100;17.88
C1100;17.87
C1100;17.87
C1100;17.88
C1100;17.87
C1100;17.91
C1100;17.88
C1100;17.92
C1100;18.01
C1100;18.14
C1100;18.21
C1100;18.24
C1100;18.16
C1100;18.30
C1100;18.25
C1100;18.28
C1100;18.31
C1100;18.30
C1100;18.31
C1100;18.28
C1100;18.30
C1100;18.32
C1100;18.31
C1100;18.33
C1100;18.28
C1100;18.33
C1100;18.31
C1100;18.35
C1100;18.32
C1100;18.30
C1100;18.21
C1100;18.12
C1100;18.10
C1100;18.03
C1100;17.97
C1100;17.98
C1100;17.96
C1100;17.94
C1100;17.94
C1100;17.91
C1100;17.93
C1100;17.92
C1100;17.92
C1100;17.90
C1100;17.90
C1100;17.90
C1100;17.91
C1100;17.91
C1100;17.89
C1100;17.87
C1100;17.91
C1100;17.94
C1100;17.93
C1100;17.92
C1100;17.90
C1100;17.91
C1100;17.87
